Year,Obs_Count,Avg_Price,Avg_IV,Avg_Moneyness
1996,293,5.58617747440273,0.172451174061433,0.96914714483528
1997,352,11.1189630681818,0.229860130681818,0.952465325317496
1998,354,14.3269774011299,0.266315118644068,0.938754842061649
1999,342,16.8952850877193,0.279982324561404,0.943847164525064
2000,310,15.6846774193548,0.241653167741935,0.965439863867357
2001,287,14.5853222996516,0.266858574912892,0.966105389103436
2002,282,11.0826241134752,0.283371968085106,0.982450343246817
2003,258,9.56589147286822,0.23348376744186,0.951508958425614
2004,266,7.83834586466166,0.180941195488722,0.95498925260675
2005,334,7.95928143712575,0.136325928143713,0.97885461443073
2006,496,8.28064516129032,0.142898356854839,0.970843960674984
2007,614,11.89332247557,0.192575076547231,0.95645969567473
2008,877,17.4780501710376,0.329880068415051,0.976892375940127
2009,1150,11.1841739130435,0.346258628695652,0.918864359857437
2010,1149,9.21131418624891,0.276216334203655,0.900747587900098
2011,1338,10.8529147982063,0.2978337122571,0.892355896631421
2012,1277,8.60391542678152,0.236245812059515,0.907345920081979
2013,1210,7.9847520661157,0.178235104132231,0.927094291647211
2014,1569,8.07326322498407,0.201877205226259,0.897607920907119
2015,1592,9.93052763819096,0.226631587311558,0.883951387658008
2016,2053,10.1996103263517,0.234428430102289,0.883416187516056
2017,2057,7.12080700048614,0.1882578483228,0.895316038463276
2018,2738,12.5579985390796,0.231973378013148,0.895924080891014
2019,2860,12.4757692307692,0.216082292307692,0.89520630894524
2020,3670,37.499727520436,0.366063890190736,0.898860956803074
2021,3897,29.4493199897357,0.293380219912753,0.871029584097881
